s_no,track_id,vehicle_type,direction,speed_kmph,start_frame,end_frame
1,1,truck,OUT,39.91,0,108
2,3,car,OUT,10.87,0,93
3,4,car,UNKNOWN,0.0,0,16
4,5,car,OUT,4.91,0,65
5,9,car,OUT,53.11,18,196
6,11,bike,OUT,93.52,20,58
7,13,car,OUT,48.05,58,212
8,14,car,OUT,53.66,84,258
9,18,car,OUT,51.25,144,302
10,19,car,OUT,54.0,162,325
11,21,car,OUT,53.71,185,321
12,25,car,OUT,56.18,273,455
13,26,car,OUT,51.84,323,542
14,28,bus,OUT,52.65,357,1019
15,32,car,OUT,51.15,371,510
16,33,car,OUT,53.37,412,592
17,35,bike,UNKNOWN,0.0,418,419
18,36,bike,IN,68.78,433,472
19,37,car,OUT,48.18,445,671
20,38,car,OUT,45.87,460,666
21,57,car,OUT,48.15,495,690
22,58,car,OUT,46.29,500,736
23,60,car,OUT,51.28,517,745
24,64,car,OUT,43.64,542,790
25,68,car,UNKNOWN,0.0,608,609
26,67,car,OUT,61.61,617,992
27,72,car,OUT,42.5,648,861
28,71,bus,OUT,34.88,661,1126
29,74,car,OUT,54.03,675,828
30,75,car,OUT,45.02,706,713
31,76,car,OUT,50.98,725,1098
32,77,car,OUT,49.47,745,917
33,78,car,OUT,51.35,758,1036
34,79,truck,OUT,120.0,760,762
35,81,car,OUT,53.27,785,1077
36,87,car,OUT,55.02,838,1055
37,80,car,IN,42.36,839,933
38,86,bus,OUT,28.88,872,1192
39,92,car,IN,44.09,892,1015
40,98,car,OUT,53.65,894,1085
41,102,car,OUT,53.16,923,1098
42,85,car,IN,19.85,928,1091
43,104,car,IN,37.16,932,1045
44,107,car,OUT,55.35,947,1192
45,110,car,IN,44.5,987,1095
46,112,car,OUT,52.43,999,1190
47,121,car,OUT,51.23,1051,1192
48,118,car,IN,39.15,1059,1152
49,108,bus,IN,26.11,1064,1115
50,125,truck,UNKNOWN,0.0,1072,1073
51,123,car,IN,27.4,1074,1192
52,124,car,OUT,54.67,1077,1192
53,130,car,OUT,18.7,1148,1163
54,131,car,UNKNOWN,6.21,1179,1192
